CLF_0,CLF_1,CLF_2,CLF_3,LABEL
7,7,7,7,7
7,7,7,7,7
7,7,6,7,7
7,7,7,7,7
7,7,6,7,7
7,7,7,7,7
7,7,7,7,7
9,7,7,7,7
7,7,6,7,7
6,7,7,7,7
25,7,6,7,7
7,7,7,7,7
7,7,7,7,7
7,7,6,7,7
11,7,7,11,7
11,7,7,7,7
32,7,7,6,7
7,7,7,7,7
7,7,7,7,7
6,7,6,5,7
7,7,6,7,7
7,7,7,7,7
7,7,7,7,7
9,7,7,29,7
7,7,7,7,7
7,7,6,7,7
10,11,7,7,7
11,7,7,7,7
7,7,6,7,7
7,7,6,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
29,7,7,7,7
2,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
29,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
10,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
20,7,7,7,7
11,7,7,7,7
7,7,7,7,7
7,7,7,11,7
7,7,7,7,7
7,7,6,7,7
29,7,7,7,7
7,7,7,7,7
7,7,7,7,7
29,7,7,7,7
7,7,6,7,7
7,7,7,7,7
3,7,7,7,7
7,7,7,7,7
7,7,7,7,7
29,7,7,7,7
7,7,7,7,7
7,7,7,7,7
13,7,7,7,7
7,7,6,7,7
10,7,7,7,7
7,7,7,7,7
7,7,7,7,7
10,10,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,6,7,7
10,10,6,7,7
11,7,7,7,7
7,7,6,7,7
5,7,6,7,7
2,7,7,7,7
7,7,7,7,7
7,7,7,7,7
27,7,7,7,7
23,7,7,7,7
2,7,7,7,7
10,11,7,7,7
4,7,7,7,7
2,7,6,7,7
7,7,7,7,7
10,10,6,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
6,7,7,7,7
29,7,7,29,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
38,7,7,38,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,6,7,7
11,7,6,7,7
2,7,7,7,7
34,7,7,7,7
29,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
17,7,7,7,7
32,7,7,8,7
7,7,7,7,7
7,7,7,7,7
7,7,6,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
29,7,7,7,7
7,7,6,7,7
7,7,6,7,7
7,7,7,7,7
10,10,7,7,7
29,7,7,7,7
7,7,7,7,7
29,29,7,7,7
6,7,7,7,7
7,7,7,7,7
10,10,7,7,7
6,7,7,7,7
7,7,6,7,7
7,7,7,7,7
10,10,7,7,7
7,7,7,7,7
23,7,7,7,7
7,7,7,7,7
7,7,7,29,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,6,7
7,7,7,7,7
39,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,6,7,7
6,7,7,7,7
7,7,10,7,7
7,7,7,7,7
2,7,7,7,7
2,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,6,7,7
7,7,6,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
2,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
36,7,7,7,7
11,7,7,7,7
7,7,6,7,7
17,7,7,7,7
7,7,7,7,7
7,7,7,7,7
13,7,7,7,7
7,7,7,7,7
7,7,6,7,7
7,7,6,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
7,7,7,7,7
